Save 264 - Episode 1291/1400, Score: -87.0 (0.01), AVG Score: -100.68
Save 265 - Episode 1292/1400, Score: -105.0 (0.01), AVG Score: -100.7
Save 266 - Episode 1293/1400, Score: -104.0 (0.01), AVG Score: -100.89
Save 267 - Episode 1294/1400, Score: -107.0 (0.01), AVG Score: -100.91
Save 268 - Episode 1296/1400, Score: -104.0 (0.01), AVG Score: -101.02
Save 269 - Episode 1297/1400, Score: -106.0 (0.01), AVG Score: -101.23
Save 270 - Episode 1298/1400, Score: -101.0 (0.01), AVG Score: -101.38
Save 271 - Episode 1299/1400, Score: -105.0 (0.01), AVG Score: -101.39
Save 272 - Episode 1300/1400, Score: -84.0 (0.01), AVG Score: -101.2
Save 273 - Episode 1301/1400, Score: -86.0 (0.01), AVG Score: -101.17
Save 274 - Episode 1302/1400, Score: -106.0 (0.01), AVG Score: -101.19
Save 275 - Episode 1303/1400, Score: -105.0 (0.01), AVG Score: -101.19
Save 276 - Episode 1304/1400, Score: -101.0 (0.01), AVG Score: -101.22
Save 277 - Episode 1305/1400, Score: -103.0 (0.01), AVG Score: -101.26
Save 278 - Episode 1306/1400, Score: -102.0 (0.01), AVG Score: -101.22
Save 279 - Episode 1307/1400, Score: -104.0 (0.01), AVG Score: -101.38
Save 280 - Episode 1308/1400, Score: -105.0 (0.01), AVG Score: -101.57
Save 281 - Episode 1309/1400, Score: -107.0 (0.01), AVG Score: -101.6
Save 282 - Episode 1310/1400, Score: -106.0 (0.01), AVG Score: -101.65
Save 283 - Episode 1311/1400, Score: -84.0 (0.01), AVG Score: -101.44
Save 284 - Episode 1312/1400, Score: -103.0 (0.01), AVG Score: -101.6
Save 285 - Episode 1313/1400, Score: -105.0 (0.01), AVG Score: -101.55
Save 286 - Episode 1314/1400, Score: -104.0 (0.01), AVG Score: -101.47
Save 287 - Episode 1315/1400, Score: -106.0 (0.01), AVG Score: -101.47
Save 288 - Episode 1316/1400, Score: -105.0 (0.01), AVG Score: -101.47
Save 289 - Episode 1317/1400, Score: -106.0 (0.01), AVG Score: -101.43
Save 290 - Episode 1318/1400, Score: -107.0 (0.01), AVG Score: -101.38
Save 291 - Episode 1319/1400, Score: -86.0 (0.01), AVG Score: -101.17
Save 292 - Episode 1320/1400, Score: -89.0 (0.01), AVG Score: -100.96
Save 293 - Episode 1321/1400, Score: -104.0 (0.01), AVG Score: -100.86
Save 294 - Episode 1322/1400, Score: -90.0 (0.01), AVG Score: -100.68
Save 295 - Episode 1323/1400, Score: -84.0 (0.01), AVG Score: -100.48
Save 296 - Episode 1324/1400, Score: -104.0 (0.01), AVG Score: -100.48
Save 297 - Episode 1325/1400, Score: -104.0 (0.01), AVG Score: -100.46
Save 298 - Episode 1326/1400, Score: -85.0 (0.01), AVG Score: -100.28
Save 299 - Episode 1327/1400, Score: -103.0 (0.01), AVG Score: -100.44
Save 300 - Episode 1328/1400, Score: -83.0 (0.01), AVG Score: -100.4
Save 301 - Episode 1329/1400, Score: -104.0 (0.01), AVG Score: -100.44
Save 302 - Episode 1330/1400, Score: -105.0 (0.01), AVG Score: -100.65
Save 303 - Episode 1331/1400, Score: -103.0 (0.01), AVG Score: -100.6
Save 304 - Episode 1332/1400, Score: -98.0 (0.01), AVG Score: -100.55
Save 305 - Episode 1333/1400, Score: -84.0 (0.01), AVG Score: -100.32
Save 306 - Episode 1334/1400, Score: -86.0 (0.01), AVG Score: -100.12
Save 307 - Episode 1336/1400, Score: -105.0 (0.01), AVG Score: -100.26
Save 308 - Episode 1337/1400, Score: -100.0 (0.01), AVG Score: -100.19
Save 309 - Episode 1338/1400, Score: -103.0 (0.01), AVG Score: -100.34
Save 310 - Episode 1339/1400, Score: -91.0 (0.01), AVG Score: -100.18
Save 311 - Episode 1340/1400, Score: -106.0 (0.01), AVG Score: -100.35
Save 312 - Episode 1341/1400, Score: -108.0 (0.01), AVG Score: -100.37
Save 313 - Episode 1342/1400, Score: -107.0 (0.01), AVG Score: -100.41
Save 314 - Episode 1343/1400, Score: -105.0 (0.01), AVG Score: -100.61
Save 315 - Episode 1344/1400, Score: -107.0 (0.01), AVG Score: -100.64
Save 316 - Episode 1345/1400, Score: -107.0 (0.01), AVG Score: -100.7
Save 317 - Episode 1346/1400, Score: -102.0 (0.01), AVG Score: -100.64
Save 318 - Episode 1347/1400, Score: -86.0 (0.01), AVG Score: -100.45
Save 319 - Episode 1349/1400, Score: -106.0 (0.01), AVG Score: -100.7
Save 320 - Episode 1350/1400, Score: -105.0 (0.01), AVG Score: -100.73
Save 321 - Episode 1351/1400, Score: -103.0 (0.01), AVG Score: -100.71
Save 322 - Episode 1352/1400, Score: -101.0 (0.01), AVG Score: -100.69
Save 323 - Episode 1353/1400, Score: -99.0 (0.01), AVG Score: -100.64
Save 324 - Episode 1354/1400, Score: -106.0 (0.01), AVG Score: -100.85
Save 325 - Episode 1355/1400, Score: -105.0 (0.01), AVG Score: -101.03
